resultPosition,trapNumber,raceTime,raceDate,raceId,raceNumber,raceClass,raceDistance,meetingId,trackName,dogId,dogName,dogSire,dogDam,trainerName,ownerName
1,3,21:15:00,27/01/2018,407304,8,A8,435.0,334709,Peterborough,490121,Kittys Brandy,Mall Brandy,Bogberry Kitty,W M Scoles,Mrs W M Scoles
1,2,21:15:00,27/01/2018,407052,6,HP,480.0,334800,Shawfield,465047,Triangle Apache,Godsend,Triangle Beyonce,S Kennedy,Mr D Fleming
1,1,21:11:00,27/01/2018,407182,8,A1,462.0,334794,Yarmouth,469672,Meadow,Kinloch Brae,Ardine Lunar,J G Mullins,"Mr H J Berlin,mr L W Calcutt,mr P Langham,mr K Parkin"
1,2,21:11:00,27/01/2018,407027,7,D2,268.0,334785,Kinsley,477284,Filey Warrior,Elwick Chris,Miss Pebbles,J Brass,Mr I Page
1,3,21:09:00,27/01/2018,407374,7,OR,540.0,334742,Crayford,466774,Princely Pennie,Droopys Scolari,Lady Deise,B S Green,"Miss B S Green,mrs T Green"
1,3,21:08:00,27/01/2018,407080,11,A3,515.0,334826,Hove,466568,Lemon Derek,Droopys Scolari,Lemon Belle,J J Heath,"Mr J A Grainger,mr S Whittaker"
1,5,21:06:00,27/01/2018,407156,7,D3,275.0,334761,Perry Barr,484956,Zenno Rob Roy,Premier Fantasy,Three Star Lass,J R Hall,"Mr J R Hall,mr K Straw"
1,2,21:03:00,27/01/2018,407745,10,S2,575.0,334802,Romford,471884,Usain Im Cool,Premier Fantasy,Usain Flyer,B Doyle,Ramat Racing Club
1,5,21:02:00,27/01/2018,407144,6,D4,260.0,334774,Towcester,496304,Miss Hunter,College Causeway,Cairns Risky,J M Liles,"Mr J Henderson,mr N J Henderson"
1,2,21:01:00,27/01/2018,407063,7,D3,305.0,334818,Nottingham,498042,Victoria Jaxx,Ballymac Vic,Airport Panther,J Gray,Mr J Mcgill
1,6,21:01:00,27/01/2018,407509,7,A1,480.0,334832,Newcastle,454758,Head Iton Scoogs,Westmead Hawk,Head Iton Steffi,A Harrison,Mr D Armstrong
1,6,21:01:00,27/01/2018,407119,11,D2,280.0,334781,Sheffield,485079,Carry On,Kinloch Brae,Miss McGrath,L A Taylorson,Mrs L A Taylorson
1,1,21:00:00,27/01/2018,407089,6,A1,435.0,334769,Pelaw Grange,493179,Oak Tree Road,Oaks Road,Havana Salsa,R Thompson,The Busby Three
1,2,21:00:00,27/01/2018,407051,5,HP,480.0,334800,Shawfield,498101,Toolmaker Delite,Droopys Nidge,Droopys Ginny,W J Hyslop,Mr W J Hyslop
1,6,21:00:00,27/01/2018,407350,9,A8,480.0,334811,Swindon,492354,Ballybeg Bolt,Droopys Scolari,Ballymac Pen,D O Pearce,"Mr C Maton,miss D O Pearce"
1,3,21:00:00,27/01/2018,407168,7,A1,450.0,334746,Poole,488912,Clover Sparkle,Droopys Scolari,Ilikeyou,A R Keppie,"Mr G Hall,mr T Ilsley"
1,3,21:00:00,27/01/2018,407303,7,A4,435.0,334709,Peterborough,492706,Rohan,Superior Product,Lavally Diva,P S Rea,Mr W J Dixon
1,3,21:00:00,27/01/2018,407289,9,A2,470.0,334744,Belle Vue,497810,Holycross Duke,Shaneboy Lee,Good Sarah,J Drake,Mr J Drake
1,4,20:58:00,27/01/2018,407134,10,A5,480.0,334783,Monmore,501418,Ruttman Dynamo,Laughil Blake,Bleisce Charm,P A Sallis,Rutter - Newman Racing
1,3,20:57:00,27/01/2018,407181,7,A2,462.0,334794,Yarmouth,488469,Simple Task,SH Avatar,Bonus,I J Barnard,Miss L Barnard
1,2,20:57:00,27/01/2018,407026,6,A4,462.0,334785,Kinsley,494545,Mapleleafforever,Hondo Black,Fridays Twirl,K E Seville,Mrs D M Seville
